id x y status inf_cout
568 245 12 SUSCEPTIBLE 0
569 158 433 SUSCEPTIBLE 0
570 257 696 SUSCEPTIBLE 0
571 199 880 INFECTED 1
572 547 889 SUSCEPTIBLE 0
573 621 692 SUSCEPTIBLE 0
574 62 376 INFECTED 1
575 450 389 INFECTED 1
576 2 772 SUSCEPTIBLE 0
577 440 938 SUSCEPTIBLE 0
578 636 339 SUSCEPTIBLE 0
579 375 780 INFECTED 1
580 803 347 SUSCEPTIBLE 0
581 544 952 SUSCEPTIBLE 0
582 789 298 INFECTED 1
583 394 563 SUSCEPTIBLE 0
584 55 645 INFECTED 1
585 907 138 SUSCEPTIBLE 0
586 885 421 INFECTED 1
587 373 642 SUSCEPTIBLE 0
588 442 913 SUSCEPTIBLE 0
589 521 897 SUSCEPTIBLE 0
590 671 180 INFECTED 1
591 462 125 SUSCEPTIBLE 0
592 197 910 SUSCEPTIBLE 0
593 520 452 SUSCEPTIBLE 0
594 197 708 SUSCEPTIBLE 0
595 695 852 SUSCEPTIBLE 0
596 485 309 INFECTED 1
597 551 941 SUSCEPTIBLE 0
598 496 353 SUSCEPTIBLE 0
599 71 761 SUSCEPTIBLE 0
600 568 692 SUSCEPTIBLE 0
601 31 619 SUSCEPTIBLE 0
602 685 205 SUSCEPTIBLE 0
603 564 838 INFECTED 1
604 503 750 SUSCEPTIBLE 0
605 117 990 INFECTED 1
606 627 434 SUSCEPTIBLE 0
607 160 767 INFECTED 1
608 180 570 SUSCEPTIBLE 0
609 28 891 SUSCEPTIBLE 0
610 117 420 SUSCEPTIBLE 0
611 480 338 INFECTED 1
612 53 262 SUSCEPTIBLE 0
613 961 803 SUSCEPTIBLE 0
614 738 76 SUSCEPTIBLE 0
615 563 545 INFECTED 1
616 110 957 SUSCEPTIBLE 0
617 151 361 SUSCEPTIBLE 0
618 837 325 INFECTED 1
619 858 91 SUSCEPTIBLE 0
620 401 660 SUSCEPTIBLE 0
621 87 249 INFECTED 1
622 100 540 SUSCEPTIBLE 0
623 85 27 INFECTED 1
624 704 908 INFECTED 1
625 10 913 SUSCEPTIBLE 0
626 549 160 SUSCEPTIBLE 0
627 202 950 INFECTED 1
628 441 278 SUSCEPTIBLE 0
629 20 397 SUSCEPTIBLE 0
630 887 406 INFECTED 1
631 434 690 SUSCEPTIBLE 0
632 664 267 SUSCEPTIBLE 0
633 491 322 SUSCEPTIBLE 0
634 454 822 INFECTED 1
635 881 646 SUSCEPTIBLE 0
636 273 351 SUSCEPTIBLE 0
637 187 868 SUSCEPTIBLE 0
638 276 361 SUSCEPTIBLE 0
639 229 652 SUSCEPTIBLE 0
640 869 1 SUSCEPTIBLE 0
641 278 374 SUSCEPTIBLE 0
642 114 697 SUSCEPTIBLE 0
643 168 704 INFECTED 1
644 462 283 SUSCEPTIBLE 0
645 516 135 SUSCEPTIBLE 0
646 614 835 INFECTED 1
647 104 517 SUSCEPTIBLE 0
648 848 870 INFECTED 1
649 4 175 SUSCEPTIBLE 0
650 432 379 INFECTED 1
651 802 1 SUSCEPTIBLE 0
652 75 619 INFECTED 1
653 117 101 INFECTED 1
654 926 329 SUSCEPTIBLE 0
655 912 470 SUSCEPTIBLE 0
656 362 239 SUSCEPTIBLE 0
657 339 378 INFECTED 1
658 299 156 SUSCEPTIBLE 0
659 887 27 SUSCEPTIBLE 0
660 318 172 INFECTED 1
661 473 402 SUSCEPTIBLE 0
662 500 861 INFECTED 1
663 711 9 INFECTED 1
664 615 80 SUSCEPTIBLE 0
665 177 371 SUSCEPTIBLE 0
666 400 5 INFECTED 1
667 147 75 SUSCEPTIBLE 0
668 655 809 SUSCEPTIBLE 0
669 71 604 INFECTED 1
670 678 700 SUSCEPTIBLE 0
671 669 28 INFECTED 1
672 157 865 SUSCEPTIBLE 0
673 129 832 SUSCEPTIBLE 0
674 208 169 INFECTED 1
675 962 394 INFECTED 1
676 651 101 INFECTED 1
677 199 112 INFECTED 1
678 310 142 SUSCEPTIBLE 0
679 464 578 SUSCEPTIBLE 0
680 400 420 SUSCEPTIBLE 0
681 147 671 SUSCEPTIBLE 0
682 820 18 SUSCEPTIBLE 0
683 427 815 SUSCEPTIBLE 0
684 916 153 INFECTED 1
685 4 255 INFECTED 1
686 569 499 SUSCEPTIBLE 0
687 753 492 SUSCEPTIBLE 0
688 633 578 INFECTED 1
689 165 256 INFECTED 1
690 993 982 SUSCEPTIBLE 0
691 988 834 INFECTED 1
692 327 851 SUSCEPTIBLE 0
693 355 331 INFECTED 1
694 644 82 INFECTED 1
695 763 474 INFECTED 1
696 539 672 SUSCEPTIBLE 0
697 995 741 SUSCEPTIBLE 0
698 516 755 SUSCEPTIBLE 0
699 337 940 SUSCEPTIBLE 0
700 316 427 SUSCEPTIBLE 0
701 338 847 SUSCEPTIBLE 0
702 837 491 INFECTED 1
703 2 508 SUSCEPTIBLE 0
704 749 622 INFECTED 1
705 324 175 INFECTED 1
706 416 123 SUSCEPTIBLE 0
707 681 870 SUSCEPTIBLE 0
708 298 288 SUSCEPTIBLE 0
709 935 913 INFECTED 1
710 831 374 INFECTED 1
711 926 427 INFECTED 1
712 64 199 INFECTED 1
713 634 974 SUSCEPTIBLE 0
714 127 997 SUSCEPTIBLE 0
715 359 148 SUSCEPTIBLE 0
716 14 840 SUSCEPTIBLE 0
717 901 889 SUSCEPTIBLE 0
718 672 889 SUSCEPTIBLE 0
719 330 122 INFECTED 1
720 21 614 SUSCEPTIBLE 0
721 754 128 SUSCEPTIBLE 0
722 517 213 SUSCEPTIBLE 0
723 260 453 SUSCEPTIBLE 0
724 733 375 SUSCEPTIBLE 0
725 592 509 SUSCEPTIBLE 0
726 122 91 SUSCEPTIBLE 0
727 265 529 INFECTED 1
728 676 546 SUSCEPTIBLE 0
729 674 292 SUSCEPTIBLE 0
730 482 749 SUSCEPTIBLE 0
731 14 889 INFECTED 1
732 651 189 SUSCEPTIBLE 0
733 421 574 SUSCEPTIBLE 0
734 231 92 SUSCEPTIBLE 0
735 621 539 SUSCEPTIBLE 0
736 524 342 INFECTED 1
737 892 686 SUSCEPTIBLE 0
738 249 378 SUSCEPTIBLE 0
739 2 778 INFECTED 1
740 555 358 SUSCEPTIBLE 0
741 790 75 SUSCEPTIBLE 0
742 926 684 INFECTED 1
743 113 10 INFECTED 1
744 800 187 SUSCEPTIBLE 0
745 24 984 INFECTED 1
746 784 225 INFECTED 1
747 106 781 INFECTED 1
748 228 397 INFECTED 1
749 140 83 INFECTED 1
