id x y status inf_cout
426 533 238 SUSCEPTIBLE 1
427 163 155 SUSCEPTIBLE 1
428 93 240 SUSCEPTIBLE 1
429 902 617 SUSCEPTIBLE 1
430 802 401 SUSCEPTIBLE 1
431 359 624 SUSCEPTIBLE 0
432 777 858 SUSCEPTIBLE 1
433 730 421 SUSCEPTIBLE 1
434 104 312 SUSCEPTIBLE 0
435 136 242 SUSCEPTIBLE 1
436 220 385 SUSCEPTIBLE 0
437 721 533 SUSCEPTIBLE 2
438 601 189 SUSCEPTIBLE 2
439 813 545 SUSCEPTIBLE 0
440 736 696 SUSCEPTIBLE 1
441 470 997 SUSCEPTIBLE 1
442 939 998 SUSCEPTIBLE 1
443 242 110 SUSCEPTIBLE 0
444 967 507 SUSCEPTIBLE 1
445 788 947 SUSCEPTIBLE 0
446 286 364 SUSCEPTIBLE 0
447 800 243 SUSCEPTIBLE 0
448 488 943 SUSCEPTIBLE 0
449 393 251 SUSCEPTIBLE 0
450 753 704 SUSCEPTIBLE 0
451 316 464 SUSCEPTIBLE 1
452 691 912 SUSCEPTIBLE 1
453 763 906 SUSCEPTIBLE 0
454 320 645 SUSCEPTIBLE 2
455 641 887 SUSCEPTIBLE 1
456 81 88 SUSCEPTIBLE 0
457 937 34 SUSCEPTIBLE 1
458 507 328 SUSCEPTIBLE 1
459 461 804 SUSCEPTIBLE 0
460 190 520 SUSCEPTIBLE 0
461 882 55 SUSCEPTIBLE 0
462 827 749 SUSCEPTIBLE 0
463 174 663 SUSCEPTIBLE 1
464 893 696 SUSCEPTIBLE 0
465 624 379 SUSCEPTIBLE 2
466 707 551 SUSCEPTIBLE 0
467 198 8 SUSCEPTIBLE 0
468 67 614 SUSCEPTIBLE 1
469 694 254 SUSCEPTIBLE 1
470 173 126 SUSCEPTIBLE 0
471 301 583 SUSCEPTIBLE 0
472 264 430 SUSCEPTIBLE 1
473 810 211 SUSCEPTIBLE 0
474 927 377 SUSCEPTIBLE 1
475 750 600 SUSCEPTIBLE 0
476 146 243 SUSCEPTIBLE 0
477 111 180 SUSCEPTIBLE 0
478 849 108 SUSCEPTIBLE 1
479 256 560 SUSCEPTIBLE 0
480 109 505 SUSCEPTIBLE 0
481 39 871 SUSCEPTIBLE 1
482 649 324 SUSCEPTIBLE 1
483 399 921 SUSCEPTIBLE 1
484 373 916 SUSCEPTIBLE 1
485 275 307 SUSCEPTIBLE 1
486 723 548 SUSCEPTIBLE 1
487 742 271 SUSCEPTIBLE 0
488 420 327 SUSCEPTIBLE 0
489 647 919 SUSCEPTIBLE 1
490 541 324 SUSCEPTIBLE 1
491 79 379 SUSCEPTIBLE 0
492 648 379 SUSCEPTIBLE 1
493 921 415 SUSCEPTIBLE 0
494 851 586 SUSCEPTIBLE 2
495 857 1 SUSCEPTIBLE 0
496 249 410 SUSCEPTIBLE 0
497 627 812 SUSCEPTIBLE 0
498 308 559 SUSCEPTIBLE 1
499 246 48 SUSCEPTIBLE 0
500 222 435 SUSCEPTIBLE 0
501 308 119 SUSCEPTIBLE 1
502 705 661 SUSCEPTIBLE 0
503 637 311 SUSCEPTIBLE 0
504 186 118 SUSCEPTIBLE 0
505 919 933 SUSCEPTIBLE 1
506 515 250 SUSCEPTIBLE 0
507 541 378 SUSCEPTIBLE 0
508 380 912 SUSCEPTIBLE 0
509 179 229 SUSCEPTIBLE 1
