id x y status inf_cout
570 629 696 SUSCEPTIBLE 0
571 801 880 INFECTED 1
572 547 593 SUSCEPTIBLE 0
573 621 20 SUSCEPTIBLE 0
574 372 376 INFECTED 1
575 682 389 INFECTED 1
576 120 772 SUSCEPTIBLE 0
577 206 938 SUSCEPTIBLE 0
578 636 775 SUSCEPTIBLE 0
579 375 210 SUSCEPTIBLE 0
580 803 523 SUSCEPTIBLE 0
581 544 888 SUSCEPTIBLE 0
582 983 298 SUSCEPTIBLE 0
583 406 563 SUSCEPTIBLE 0
584 55 249 INFECTED 1
585 907 390 SUSCEPTIBLE 0
586 885 163 INFECTED 1
587 373 120 SUSCEPTIBLE 0
588 362 913 SUSCEPTIBLE 0
589 521 605 SUSCEPTIBLE 0
590 903 180 SUSCEPTIBLE 0
591 462 229 SUSCEPTIBLE 0
592 197 410 SUSCEPTIBLE 0
593 520 34 SUSCEPTIBLE 0
594 197 788 SUSCEPTIBLE 0
595 627 852 SUSCEPTIBLE 0
596 485 945 INFECTED 1
597 551 597 SUSCEPTIBLE 0
598 496 561 SUSCEPTIBLE 0
599 509 761 SUSCEPTIBLE 0
600 890 692 SUSCEPTIBLE 0
601 445 619 SUSCEPTIBLE 0
602 127 205 SUSCEPTIBLE 0
603 776 838 INFECTED 1
604 503 800 SUSCEPTIBLE 0
605 117 658 INFECTED 1
606 221 434 SUSCEPTIBLE 0
607 914 767 INFECTED 1
608 180 408 SUSCEPTIBLE 0
609 28 193 SUSCEPTIBLE 0
610 117 640 SUSCEPTIBLE 0
611 480 532 INFECTED 1
612 53 584 SUSCEPTIBLE 0
613 961 707 SUSCEPTIBLE 0
614 142 76 SUSCEPTIBLE 0
615 563 509 INFECTED 1
616 636 957 SUSCEPTIBLE 0
617 151 77 SUSCEPTIBLE 0
618 717 325 INFECTED 1
619 858 757 SUSCEPTIBLE 0
620 61 660 SUSCEPTIBLE 0
621 87 23 SUSCEPTIBLE 0
622 100 278 SUSCEPTIBLE 0
623 507 27 INFECTED 1
624 704 932 INFECTED 1
625 10 505 SUSCEPTIBLE 0
626 549 444 SUSCEPTIBLE 0
627 202 266 INFECTED 1
628 645 278 SUSCEPTIBLE 0
629 20 651 SUSCEPTIBLE 0
630 649 406 INFECTED 1
631 434 66 SUSCEPTIBLE 0
632 718 267 SUSCEPTIBLE 0
633 491 276 SUSCEPTIBLE 0
634 720 822 INFECTED 1
635 807 646 SUSCEPTIBLE 0
636 643 351 SUSCEPTIBLE 0
637 721 868 SUSCEPTIBLE 0
638 276 443 SUSCEPTIBLE 0
639 229 268 SUSCEPTIBLE 0
640 535 1 SUSCEPTIBLE 0
641 278 572 SUSCEPTIBLE 0
642 114 957 SUSCEPTIBLE 0
643 604 704 INFECTED 1
644 774 283 SUSCEPTIBLE 0
645 870 135 SUSCEPTIBLE 0
646 578 835 INFECTED 1
647 104 863 SUSCEPTIBLE 0
648 584 870 INFECTED 1
649 162 175 SUSCEPTIBLE 0
650 134 379 INFECTED 1
